id_municipio,lat,lon,osm_id,osm_type,osm_query_usada,osm_pass
07240763,42.7309150,-5.5233043,343382,relation,"Garrafe de Torío, león, Castilla y León, España",pass_1
07240779,42.3435046,-5.1575995,343383,relation,"Gordaliza del Pino, león, Castilla y León, España",pass_1
07240785,42.1344839,-5.4019571,343376,relation,"Gordoncillo, león, Castilla y León, España",pass_1
07240798,42.6241048,-5.2269500,343377,relation,"Gradefes, león, Castilla y León, España",pass_1
07240802,42.3209003,-5.0195201,339998,relation,"Grajal de Campos, león, Castilla y León, España",pass_1
07240819,42.3775439,-5.4304009,339997,relation,"Gusendos de los Oteros, león, Castilla y León, España",pass_1
07240824,42.4636603,-5.8821214,339586,relation,"Hospital de Órbigo, león, Castilla y León, España",pass_1
07240830,42.7283798,-6.2769782,339996,relation,"Igüeña, león, Castilla y León, España",pass_1
07240845,42.2236811,-5.2576280,340001,relation,"Izagre, león, Castilla y León, España",pass_1
07240861,42.2872779,-5.1787280,340000,relation,"Joarilla de las Matas, león, Castilla y León, España",pass_1
07240877,42.3315999,-5.7506061,339999,relation,"Laguna Dalga, león, Castilla y León, España",pass_1
07240883,42.2397289,-5.6611973,339986,relation,"Laguna de Negrillos, león, Castilla y León, España",pass_1
07240896,42.5989995,-5.5682413,339984,relation,"León, león, Castilla y León, España",pass_1
07240922,42.6358722,-5.8240344,340658,relation,"Llamas de la Ribera, león, Castilla y León, España",pass_1
07240900,42.4094446,-6.3027415,340904,relation,"Lucillo, león, Castilla y León, España",pass_1
07240917,42.3430708,-6.2353512,340905,relation,"Luyego, león, Castilla y León, España",pass_1
07240938,42.5398947,-6.0740882,340907,relation,"Magaz de Cepeda, león, Castilla y León, España",pass_1
07240943,42.4991013,-5.4169163,340885,relation,"Mansilla de las Mulas, león, Castilla y León, España",pass_1
07240956,42.5093156,-5.4436183,340892,relation,"Mansilla Mayor, león, Castilla y León, España",pass_1
07240969,43.0501024,-5.1778018,344318,relation,"Maraña, león, Castilla y León, España",pass_1
07240975,42.3376679,-5.3701088,340903,relation,"Matadeón de los Oteros, león, Castilla y León, España",pass_1
07240981,42.8509237,-5.5200489,344325,relation,"Matallana de Torío, león, Castilla y León, España",pass_1
07240994,42.3918357,-6.0457145,349247814,node,"Matanza, león, Castilla y León, España",pass_1
07241008,42.5378376,-6.5204633,340358,relation,"Molinaseca, león, Castilla y León, España",pass_1
07241015,42.8502169,-6.1912448,340359,relation,"Murias de Paredes, león, Castilla y León, España",pass_1
07241020,42.7125142,-6.3984836,340356,relation,"Noceda del Bierzo, león, Castilla y León, España",pass_1
07241036,42.5476235,-6.9702932,340357,relation,"Oencia, león, Castilla y León, España",pass_1
07241041,42.6772689,-5.8732965,332346468,way,"Omañas, Las, león, Castilla y León, España",pass_1
07241054,42.5247476,-5.5819058,340363,relation,"Onzonilla, león, Castilla y León, España",pass_1
07241067,43.1369687,-5.0388745,344870,relation,"Oseja de Sajambre, león, Castilla y León, España",pass_1
07241073,42.3300118,-5.4733195,340361,relation,"Pajares de los Oteros, león, Castilla y León, España",pass_1
07241089,42.3279483,-5.9389711,340354,relation,"Palacios de la Valduerna, león, Castilla y León, España",pass_1
07241092,42.8760994,-6.4315336,340355,relation,"Palacios del Sil, león, Castilla y León, España",pass_1
07241106,42.8210447,-6.4883427,343986,relation,"Páramo del Sil, león, Castilla y León, España",pass_1
07241128,42.8769244,-6.6328486,344763,relation,"Peranzanes, león, Castilla y León, España",pass_1
07241134,42.3060000,-5.6851992,344762,relation,"Pobladura de Pelayo García, león, Castilla y León, España",pass_1
07241149,42.8538667,-5.6747311,13298248490,node,"Pola de Gordón, La, león, Castilla y León, España",pass_1
07241152,42.5454124,-6.5938719,343993,relation,"Ponferrada, león, Castilla y León, España",pass_1
07241165,43.1514682,-4.9189559,344767,relation,"Posada de Valdeón, león, Castilla y León, España",pass_1
07241171,42.1711922,-5.7691015,344766,relation,"Pozuelo del Páramo, león, Castilla y León, España",pass_1
07241187,42.7829122,-5.0253448,344757,relation,"Prado de la Guzpeña, león, Castilla y León, España",pass_1
07241190,42.5102886,-6.6723942,344756,relation,"Priaranza del Bierzo, león, Castilla y León, España",pass_1
07241204,42.8944837,-4.9624749,340664,relation,"Prioro, león, Castilla y León, España",pass_1
07241211,43.0082517,-5.2742117,345969,relation,"Puebla de Lillo, león, Castilla y León, España",pass_1
07241226,42.4111894,-6.8199576,345971,relation,"Puente de Domingo Flórez, león, Castilla y León, España",pass_1
07241232,42.6809689,-6.0461355,10272040,relation,"Quintana del Castillo, león, Castilla y León, España",pass_1
07241247,42.2066005,-5.8528918,345995,relation,"Quintana del Marco, león, Castilla y León, España",pass_1
07241250,42.2554282,-6.0362252,346632,relation,"Quintana y Congosto, león, Castilla y León, España",pass_1
07241279,42.2928319,-5.8596950,346020,relation,"Regueras de Arriba, león, Castilla y León, España",pass_1
07241298,42.9484824,-5.1978848,340672,relation,"Reyero, león, Castilla y León, España",pass_1
07241302,42.9756044,-5.0056656,345048,relation,"Riaño, león, Castilla y León, España",pass_1
07241319,42.3883420,-5.9826151,345744,relation,"Riego de la Vega, león, Castilla y León, España",pass_1
07241324,42.7734736,-5.9449781,345741,relation,"Riello, león, Castilla y León, España",pass_1
07241330,42.7294093,-5.7913406,345735,relation,"Rioseco de Tapia, león, Castilla y León, España",pass_1
07241345,42.8042648,-5.6264219,4586092223,node,"Robla, La, león, Castilla y León, España",pass_1
07241361,42.2374116,-5.7815848,345043,relation,"Roperuelos del Páramo, león, Castilla y León, España",pass_1
07241377,42.8355154,-5.1482534,345731,relation,"Sabero, león, Castilla y León, España",pass_1
07241396,42.3719042,-5.0313138,345049,relation,"Sahagún, león, Castilla y León, España",pass_1
07241417,42.1306010,-5.7286192,341014,relation,"San Adrián del Valle, león, Castilla y León, España",pass_1
07241422,42.6112327,-5.6168662,339745,relation,"San Andrés del Rabanedo, león, Castilla y León, España",pass_1
07241443,42.3906726,-5.9076237,341005,relation,"San Cristóbal de la Polantera, león, Castilla y León, España",pass_1
07241456,42.9713176,-6.0005184,339744,relation,"San Emiliano, león, Castilla y León, España",pass_1
07241469,42.1586092,-5.9302563,341002,relation,"San Esteban de Nogales, león, Castilla y León, España",pass_1
07241481,42.4544676,-6.0145618,339750,relation,"San Justo de la Vega, león, Castilla y León, España",pass_1
07241494,42.2853306,-5.5616006,339751,relation,"San Millán de los Caballeros, león, Castilla y León, España",pass_1
07241507,42.3917760,-5.7091195,344180,relation,"San Pedro Bercianos, león, Castilla y León, España",pass_1
07241438,42.6673217,-6.6340611,341011,relation,"Sancedo, león, Castilla y León, España",pass_1
07241514,42.7512730,-5.4127086,344179,relation,"Santa Colomba de Curueño, león, Castilla y León, España",pass_1
07241529,42.4443580,-6.2419948,344182,relation,"Santa Colomba de Somoza, león, Castilla y León, España",pass_1
07241535,42.3545205,-5.3093150,344181,relation,"Santa Cristina de Valmadrigal, león, Castilla y León, España",pass_1
07241540,42.2601508,-5.8883717,344176,relation,"Santa Elena de Jamuz, león, Castilla y León, España",pass_1
07241553,42.3577050,-5.9286139,344175,relation,"Santa María de la Isla, león, Castilla y León, España",pass_1
07241588,42.7269256,-5.8226260,344184,relation,"Santa María de Ordás, león, Castilla y León, España",pass_1
07241566,42.4915159,-5.1168441,344178,relation,"Santa María del Monte de Cea, león, Castilla y León, España",pass_1
07241572,42.3535304,-5.7490409,344177,relation,"Santa María del Páramo, león, Castilla y León, España",pass_1
07241591,42.5131740,-5.8591186,344183,relation,"Santa Marina del Rey, león, Castilla y León, España",pass_1
07241605,42.4317267,-5.3713608,340068,relation,"Santas Martas, león, Castilla y León, España",pass_1
07241612,42.3834972,-6.1053483,340069,relation,"Santiago Millas, león, Castilla y León, España",pass_1
07241627,42.5432895,-5.6238125,340070,relation,"Santovenia de la Valdoncina, león, Castilla y León, España",pass_1
07241633,42.6471764,-5.6299522,340071,relation,"Sariegos, león, Castilla y León, España",pass_1
07241648,42.9290995,-5.9524814,340064,relation,"Sena de Luna, león, Castilla y León, España",pass_1
07241651,42.5200635,-6.8530664,340065,relation,"Sobrado, león, Castilla y León, España",pass_1
07241664,42.3316090,-5.8816802,343061,relation,"Soto de la Vega, león, Castilla y León, España",pass_1
07241670,42.7792845,-5.8858371,343064,relation,"Soto y Amío, león, Castilla y León, España",pass_1
07241686,42.2428548,-5.5671476,343015,relation,"Toral de los Guzmanes, león, Castilla y León, España",pass_1
07242066,42.5424207,-6.7758086,345872,relation,"Toral de los Vados, león, Castilla y León, España",pass_1
07241699,42.6965966,-6.5127579,343019,relation,"Toreno, león, Castilla y León, España",pass_1
07241703,42.5957352,-6.3240362,342022,relation,"Torre del Bierzo, león, Castilla y León, España",pass_1
07241710,42.6495860,-6.8816504,342021,relation,"Trabadelo, león, Castilla y León, España",pass_1
07241725,42.2607687,-6.4349930,269783119,node,"Truchas, león, Castilla y León, España",pass_1
07241731,42.5349945,-5.8766391,342019,relation,"Turcia, león, Castilla y León, España",pass_1
07241746,42.3709574,-5.7741525,342036,relation,"Urdiales del Páramo, león, Castilla y León, España",pass_1
07241857,42.4166478,-6.1207377,341719,relation,"Val de San Lorenzo, león, Castilla y León, España",pass_1
07241759,42.5940041,-5.4926699,344479,relation,"Valdefresno, león, Castilla y León, España",pass_1
07241762,42.3244971,-5.8289259,342026,relation,"Valdefuentes del Páramo, león, Castilla y León, España",pass_1
07241778,42.9779071,-5.4172489,342025,relation,"Valdelugueros, león, Castilla y León, España",pass_1
07241784,42.1955809,-5.4275174,344484,relation,"Valdemora, león, Castilla y León, España",pass_1
07241797,42.8707271,-5.4002622,344483,relation,"Valdepiélago, león, Castilla y León, España",pass_1
07241801,42.5416752,-5.2476112,341714,relation,"Valdepolo, león, Castilla y León, España",pass_1
07241818,42.0787776,-5.4447440,343479,relation,"Valderas, león, Castilla y León, España",pass_1
