id_actividad,id_pais,id_ccaa,id_provincia,año,mes,categoria,producto,subcategoria,comunidad_autonoma,provincia,gasto_total_promedio,precio_medio_entrada_promedio,valoracion_por_categoria_promedio,valoracion_general_promedio,total_opiniones_categoria_promedio,hay_valoracion
119,ES,16,01,2023,7,paisaje urbano,espectaculos,"cultura, teatro y danza",pais vasco,araba/alava,10702.0,179.0,4.46,4.41,7811,True
120,ES,16,48,2023,7,paisaje urbano,espectaculos,"cultura, teatro y danza",pais vasco,bizkaia,356774.0,776.5,4.38,4.31,56425,True
121,ES,16,20,2023,7,paisaje urbano,espectaculos,"cultura, teatro y danza",pais vasco,gipuzkoa,86088.0,776.0,4.43,4.41,26949,True
122,ES,03,33,2023,7,paisaje urbano,espectaculos,"cultura, teatro y danza",principado de asturias,asturias,2376.0,198.0,4.37,4.35,40762,True
123,ES,14,30,2023,7,paisaje urbano,espectaculos,"cultura, teatro y danza",region de murcia,murcia,935556.0,1471.0,4.32,4.2,9308,True
124,ES,13,28,2023,7,compras,espectaculos,ferias,comunidad de madrid,madrid,17800.0,2225.0,3.83,4.1,89796,True
125,ES,07,37,2023,7,paisaje urbano,espectaculos,museo y exposiciones,castilla y leon,salamanca,136041.0,331.0,4.24,4.17,31972,True
126,ES,09,08,2023,7,paisaje urbano,espectaculos,museo y exposiciones,cataluna,barcelona,8769.0,818.0,4.07,4.05,732080,True
127,ES,09,43,2023,7,paisaje urbano,espectaculos,museo y exposiciones,cataluna,tarragona,17208.0,2151.0,4.23,4.2,53439,True
128,ES,10,03,2023,7,paisaje urbano,espectaculos,museo y exposiciones,comunitat valenciana,alicante/alacant,11700.0,468.0,4.28,4.28,67888,True
129,ES,10,46,2023,7,paisaje urbano,espectaculos,museo y exposiciones,comunitat valenciana,valencia/valencia,66798.0,1237.0,4.25,4.15,114505,True
130,ES,12,15,2023,7,paisaje urbano,espectaculos,museo y exposiciones,galicia,a coruna,23576.0,5894.0,4.26,4.21,50198,True
131,ES,12,27,2023,7,paisaje urbano,espectaculos,museo y exposiciones,galicia,lugo,160.0,40.0,4.33,4.28,8872,True
132,ES,04,07,2023,7,paisaje urbano,espectaculos,museo y exposiciones,illes balears,illes balears,2072.0,518.0,4.21,4.33,107418,True
133,ES,16,01,2023,7,paisaje urbano,espectaculos,museo y exposiciones,pais vasco,araba/alava,11948.0,412.0,4.46,4.41,7811,True
134,ES,16,48,2023,7,paisaje urbano,espectaculos,museo y exposiciones,pais vasco,bizkaia,618048.0,928.0,4.38,4.31,56425,True
135,ES,01,04,2023,7,vida nocturna,espectaculos,musica,andalucia,almeria,1146958.33,1321.83,3.72,4.19,5362,True
136,ES,01,11,2023,7,vida nocturna,espectaculos,musica,andalucia,cadiz,375798.89,1649.89,4.08,4.26,2343,True
137,ES,01,14,2023,7,vida nocturna,espectaculos,musica,andalucia,cordoba,129651.17,1568.5,4.3,4.29,1908,True
138,ES,01,18,2023,7,vida nocturna,espectaculos,musica,andalucia,granada,306286.38,1806.38,3.92,4.37,10900,True
139,ES,01,21,2023,7,vida nocturna,espectaculos,musica,andalucia,huelva,14154.0,1011.0,4.03,4.11,1623,True
140,ES,01,23,2023,7,vida nocturna,espectaculos,musica,andalucia,jaen,299137.0,1709.14,4.0,4.33,992,True
141,ES,01,29,2023,7,vida nocturna,espectaculos,musica,andalucia,malaga,763325.56,1759.44,4.3,4.43,56036,True
142,ES,01,41,2023,7,vida nocturna,espectaculos,musica,andalucia,sevilla,934062.67,707.33,4.05,4.34,39053,True
143,ES,02,22,2023,7,vida nocturna,espectaculos,musica,aragon,huesca,27594.0,1533.0,3.85,4.25,1293,True
