id_pais,id_provincia,año,mes,categoria,producto,subcategoria,comunidad_autonoma,provincia,gasto_total_promedio,precio_medio_entrada_promedio
ES,48,2023,8,paisaje naturaleza,actividades,actividades infantiles,pais vasco,bizkaia,440171.67,10720.67
ES,20,2023,8,paisaje naturaleza,actividades,actividades infantiles,pais vasco,gipuzkoa,480.0,160.0
ES,30,2023,8,paisaje naturaleza,actividades,actividades infantiles,region de murcia,murcia,551363.0,2575.0
ES,23,2023,8,servicios,actividades,cursos,andalucia,jaen,3928.0,982.0
ES,29,2023,8,servicios,actividades,cursos,andalucia,malaga,20370.0,485.0
ES,35,2023,8,servicios,actividades,cursos,canarias,las palmas,7859.0,7859.0
ES,38,2023,8,servicios,actividades,cursos,canarias,santa cruz de tenerife,2616.0,1635.0
ES,45,2023,8,servicios,actividades,cursos,castilla - la mancha,toledo,4840.0,220.0
ES,08,2023,8,servicios,actividades,cursos,cataluna,barcelona,136702.0,5298.0
ES,43,2023,8,servicios,actividades,cursos,cataluna,tarragona,1220.0,1220.0
ES,28,2023,8,servicios,actividades,cursos,comunidad de madrid,madrid,64818.0,10803.0
ES,15,2023,8,servicios,actividades,cursos,galicia,a coruna,19431.0,6477.0
ES,07,2023,8,servicios,actividades,cursos,illes balears,illes balears,9982.0,758.62
ES,48,2023,8,servicios,actividades,cursos,pais vasco,bizkaia,1350.0,1350.0
ES,04,2023,8,paisaje naturaleza,actividades,deportes y aventuras,andalucia,almeria,3619.0,517.0
ES,18,2023,8,paisaje naturaleza,actividades,deportes y aventuras,andalucia,granada,4144.0,518.0
ES,29,2023,8,paisaje naturaleza,actividades,deportes y aventuras,andalucia,malaga,181496.0,3241.0
ES,50,2023,8,paisaje naturaleza,actividades,deportes y aventuras,aragon,zaragoza,1350.0,50.0
ES,13,2023,8,paisaje naturaleza,actividades,deportes y aventuras,castilla - la mancha,ciudad real,8224.0,2056.0
ES,42,2023,8,paisaje naturaleza,actividades,deportes y aventuras,castilla y leon,soria,156228.0,564.0
ES,08,2023,8,paisaje naturaleza,actividades,deportes y aventuras,cataluna,barcelona,159939.0,4101.0
ES,17,2023,8,paisaje naturaleza,actividades,deportes y aventuras,cataluna,girona,4828.0,2414.0
ES,28,2023,8,paisaje naturaleza,actividades,deportes y aventuras,comunidad de madrid,madrid,774345.0,3705.0
ES,31,2023,8,paisaje naturaleza,actividades,deportes y aventuras,comunidad foral de navarra,navarra,1638.0,126.0
ES,06,2023,8,paisaje naturaleza,actividades,deportes y aventuras,extremadura,badajoz,30269.33,782.67
ES,10,2023,8,paisaje naturaleza,actividades,deportes y aventuras,extremadura,caceres,167978.0,1787.0
ES,15,2023,8,paisaje naturaleza,actividades,deportes y aventuras,galicia,a coruna,500.0,100.0
ES,07,2023,8,paisaje naturaleza,actividades,deportes y aventuras,illes balears,illes balears,9961.5,748.5
ES,48,2023,8,paisaje naturaleza,actividades,deportes y aventuras,pais vasco,bizkaia,51576.0,1842.0
ES,33,2023,8,paisaje naturaleza,actividades,deportes y aventuras,principado de asturias,asturias,27996.0,9332.0
ES,11,2023,8,comida y bebida,actividades,gastronomia,andalucia,cadiz,5600.0,560.0
ES,29,2023,8,comida y bebida,actividades,gastronomia,andalucia,malaga,1473.0,1473.0
ES,41,2023,8,comida y bebida,actividades,gastronomia,andalucia,sevilla,337512.0,2009.0
ES,22,2023,8,comida y bebida,actividades,gastronomia,aragon,huesca,58292.0,2242.0
ES,50,2023,8,comida y bebida,actividades,gastronomia,aragon,zaragoza,30944.0,1934.0
ES,35,2023,8,comida y bebida,actividades,gastronomia,canarias,las palmas,28149.0,853.0
ES,08,2023,8,comida y bebida,actividades,gastronomia,cataluna,barcelona,395930.67,1202.67
ES,17,2023,8,comida y bebida,actividades,gastronomia,cataluna,girona,35441.5,1669.0
