AÑO;MES;CCAA;TIPO_VIVIENDA;VIVIENDAS_TURISTICAS;PLAZAS;VALORACIONES;PLAZAS_POR_VIVIENDA_TURISTICA;PORCENTAJE_VIVIENDAS_TURISTICAS;PRECIO
2023;5;Principado de Asturias;Habitación compartida;15;24;4,69;1,6;0,0;43,27
2023;5;Principado de Asturias;Habitación privada;571;1621;4,67;2,84;0,08;108,48
2023;5;Principado de Asturias;No aplica;0;0;;;0,0;
2023;5;Principado de Asturias;Otros;5;0;4,71;0,0;0,0;105,2
2023;5;Región de Murcia;Alternativo;76;354;4,73;4,66;0,01;190,3
2023;5;Región de Murcia;Apartamento;77;278;4,72;3,61;0,01;153,77
2023;5;Región de Murcia;Casa entera;6525;34632;4,59;5,31;0,77;259,19
2023;5;Región de Murcia;Habitación compartida;5;40;4,81;8,0;0,0;32,0
2023;5;Región de Murcia;Habitación privada;498;1469;4,61;2,95;0,06;108,29
2023;5;Región de Murcia;No aplica;0;0;;;0,0;
2023;5;Total Nacional;Alternativo;4951;20529;4,71;4,15;0,02;201,74
2023;5;Total Nacional;Apartamento;7826;29923;4,68;3,82;0,03;179,76
2023;5;Total Nacional;Casa entera;284990;1534606;4,63;5,38;1,08;297,02
2023;5;Total Nacional;Habitación compartida;505;1694;4,64;3,35;0,0;75,45
2023;5;Total Nacional;Habitación privada;33896;92530;4,63;2,73;0,13;117,09
2023;5;Total Nacional;No aplica;0;0;;;0,0;
2023;5;Total Nacional;Otros;56;87;4,69;1,55;0,0;133,43
2023;6;Andalucía;Alternativo;1026;4184;4,7;4,08;0,02;335,75
2023;6;Andalucía;Apartamento;2026;7745;4,69;3,82;0,04;149,86
2023;6;Andalucía;Casa entera;70589;367844;4,65;5,21;1,51;289,93
2023;6;Andalucía;Habitación compartida;55;164;4,68;2,98;0,0;53,35
2023;6;Andalucía;Habitación privada;5873;16227;4,66;2,76;0,13;115,93
2023;6;Andalucía;No aplica;0;0;;;0,0;
2023;6;Andalucía;Otros;10;10;4,64;1,0;0,0;186,0
2023;6;Aragón;Alternativo;54;213;4,74;3,94;0,01;174,91
2023;6;Aragón;Apartamento;135;537;4,71;3,98;0,02;149,75
2023;6;Aragón;Casa entera;3911;21813;4,59;5,58;0,48;219,09
2023;6;Aragón;Habitación compartida;1;2;4,85;2,0;0,0;60,0
2023;6;Aragón;Habitación privada;551;1748;4,5;3,17;0,07;89,8
2023;6;Aragón;No aplica;0;0;;;0,0;
2023;6;Canarias;Alternativo;1117;3897;4,73;3,49;0,1;115,24
