_id,mes,empresa,tipo_de_servicio,tipo_de_producto,trayecto,precio
322,2024-02,Renfe-AVLO,Comercial,LD AV,Madrid-Málaga,36.37000
323,2024-02,Renfe-AVLO,Comercial,LD AV,Madrid-Sevilla,36.94000
324,2024-02,Renfe-AVLO,Comercial,LD AV,Madrid-Valencia,18.86000
325,2024-02,Total,Comercial,LD AV,Madrid-Alicante,34.36000
326,2024-02,Total,Comercial,LD AV,Madrid-Barcelona,51.85000
327,2024-02,Total,Comercial,LD AV,Madrid-Málaga,41.53000
328,2024-02,Total,Comercial,LD AV,Madrid-Sevilla,48.16000
329,2024-02,Total,Comercial,LD AV,Madrid-Valencia,25.19000
330,2024-03,Iryo,Comercial,LD AV,Madrid-Alicante,33.03000
331,2024-03,Iryo,Comercial,LD AV,Madrid-Barcelona,48.97000
332,2024-03,Iryo,Comercial,LD AV,Madrid-Málaga,45.78000
333,2024-03,Iryo,Comercial,LD AV,Madrid-Sevilla,47.85000
334,2024-03,Iryo,Comercial,LD AV,Madrid-Valencia,27.82000
335,2024-03,OUIGO,Comercial,LD AV,Madrid-Alicante,26.96000
336,2024-03,OUIGO,Comercial,LD AV,Madrid-Barcelona,40.07000
337,2024-03,OUIGO,Comercial,LD AV,Madrid-Valencia,25.05000
338,2024-03,Renfe-AVE,Comercial,LD AV,Madrid-Alicante,42.23000
339,2024-03,Renfe-AVE,Comercial,LD AV,Madrid-Barcelona,67.17000
340,2024-03,Renfe-AVE,Comercial,LD AV,Madrid-Málaga,53.41000
341,2024-03,Renfe-AVE,Comercial,LD AV,Madrid-Sevilla,56.21000
342,2024-03,Renfe-AVE,Comercial,LD AV,Madrid-Valencia,37.52000
343,2024-03,Renfe-AVLO,Comercial,LD AV,Madrid-Alicante,25.22000
344,2024-03,Renfe-AVLO,Comercial,LD AV,Madrid-Barcelona,44.71000
345,2024-03,Renfe-AVLO,Comercial,LD AV,Madrid-Málaga,47.02000
346,2024-03,Renfe-AVLO,Comercial,LD AV,Madrid-Sevilla,41.10000
347,2024-03,Renfe-AVLO,Comercial,LD AV,Madrid-Valencia,24.00000
348,2024-03,Total,Comercial,LD AV,Madrid-Alicante,36.73000
349,2024-03,Total,Comercial,LD AV,Madrid-Barcelona,56.06000
350,2024-03,Total,Comercial,LD AV,Madrid-Málaga,50.90000
351,2024-03,Total,Comercial,LD AV,Madrid-Sevilla,52.91000
352,2024-03,Total,Comercial,LD AV,Madrid-Valencia,30.83000
353,2024-04,Iryo,Comercial,LD AV,Madrid-Alicante,33.21000
354,2024-04,Iryo,Comercial,LD AV,Madrid-Barcelona,42.97000
