CATEGORIA;CCAA;PROVINCIA;VALORACION_POR_CATEGORIA;TOTAL_OPINIONES_CATEGORIA;VALORACION_GENERAL
Paisaje Urbano;Galicia;Ourense;4,12;10022;4,15
Paisaje Urbano;Galicia;Pontevedra;4,09;36040;4,17
Paisaje Urbano;Illes Balears;Illes Balears;4,07;201363;4,33
Paisaje Urbano;La Rioja;La Rioja;4,18;22567;4,31
Paisaje Urbano;Melilla;Melilla;3,0;3;3,94
Paisaje Urbano;País Vasco;Araba/Álava;4,34;15576;4,41
Paisaje Urbano;País Vasco;Bizkaia;4,3;72979;4,31
Paisaje Urbano;País Vasco;Gipuzkoa;4,22;42783;4,41
Paisaje Urbano;Principado de Asturias;Asturias;4,25;72667;4,35
Paisaje Urbano;Región de Murcia;Murcia;4,12;15821;4,2
Servicios;Andalucía;Almería;4,19;430;4,19
Servicios;Andalucía;Cádiz;4,74;39;4,26
Servicios;Andalucía;Córdoba;4,3;22;4,29
Servicios;Andalucía;Granada;4,47;1868;4,37
Servicios;Andalucía;Huelva;4,05;99;4,11
Servicios;Andalucía;Jaén;4,34;84;4,33
Servicios;Andalucía;Málaga;4,62;51898;4,43
Servicios;Andalucía;Sevilla;4,06;4859;4,34
Servicios;Aragón;Huesca;4,88;533;4,25
Servicios;Aragón;Teruel;4,1;21;4,28
Servicios;Aragón;Zaragoza;4,05;61;4,21
Servicios;Canarias;Las Palmas;3,72;2863;4,28
Servicios;Canarias;Santa Cruz de Tenerife;3,86;3753;4,26
Servicios;Cantabria;Cantabria;3,94;4877;4,27
Servicios;Castilla - La Mancha;Albacete;4,08;9;4,15
Servicios;Castilla - La Mancha;Ciudad Real;3,0;3;4,29
Servicios;Castilla - La Mancha;Cuenca;5,0;6;4,19
Servicios;Castilla - La Mancha;Guadalajara;5,0;1;4,04
Servicios;Castilla - La Mancha;Toledo;3,33;29;4,18
Servicios;Castilla y León;Burgos;2,32;12;4,28
Servicios;Castilla y León;León;3,51;307;4,21
Servicios;Castilla y León;Palencia;5,0;4;4,35
Servicios;Castilla y León;Salamanca;3,87;1337;4,17
Servicios;Castilla y León;Segovia;3,39;141;4,07
Servicios;Castilla y León;Soria;2,0;2;3,97
Servicios;Castilla y León;Valladolid;2,7;292;4,06
Servicios;Castilla y León;Zamora;5,0;2;4,17
Servicios;Cataluña;Barcelona;4,03;159935;4,05
Servicios;Cataluña;Girona;3,82;1146;4,24
Servicios;Cataluña;Lleida;3,81;313;4,27
Servicios;Cataluña;Tarragona;3,44;9269;4,2
Servicios;Comunidad Foral de Navarra;Navarra;1,93;108;4,23
