id_ccaa,id_provincia,mes,temporada_cod,categoria_cod,subcategoria_cod,valoracion_general_promedio,valoracion_por_categoria_promedio,log_opiniones,log_precio
5,38,1,1,6,9,4.26,4.06,11.045670055905612,6.955992909580625
6,39,1,1,6,9,4.27,4.02,8.669055540725484,6.83238497195736
8,2,1,1,6,9,4.15,4.21,6.352629396319567,8.030084094267563
8,13,1,1,6,9,4.29,4.17,5.955837369464831,6.99353840197656
8,16,1,1,6,9,4.19,3.91,6.634633357861686,7.161622002939187
8,19,1,1,6,9,4.04,3.23,6.104793232414985,7.3162158960701
8,45,1,1,6,9,4.18,3.99,6.075346031088684,7.885660260476617
7,5,1,1,6,9,4.23,4.04,5.986452005284438,7.136085356983647
7,9,1,1,6,9,4.28,3.95,6.878326468291325,7.2868764117507
7,24,1,1,6,9,4.21,3.97,7.300472814267799,6.935652507399373
7,34,1,1,6,9,4.35,4.23,5.940171252720432,7.069448867980125
7,37,1,1,6,9,4.17,3.66,8.216628493133443,6.902240098294027
7,40,1,1,6,9,4.07,3.91,5.575949103146316,7.2254814727822945
7,42,1,1,6,9,3.97,4.2,5.043425116919247,6.61472560020376
7,47,1,1,6,9,4.06,4.01,7.165493475060845,7.1597583589769
7,49,1,1,6,9,4.17,4.27,6.137727054086234,7.361534247368852
9,8,1,1,6,9,4.05,3.95,11.693111409633762,7.177118073430998
9,17,1,1,6,9,4.24,3.8,9.46164368908425,8.10079554024238
9,25,1,1,6,9,4.27,3.84,7.077498053569231,6.911169444081925
9,43,1,1,6,9,4.2,4.1,10.031484910599483,7.359626759904457
13,28,1,1,6,9,4.1,3.85,11.51722620352192,7.12027459241884
15,31,1,1,6,9,4.23,3.72,7.850103545175582,7.577070726288737
10,3,1,1,6,9,4.28,4.03,11.343204190152012,7.030176430817976
10,12,1,1,6,9,4.2,3.88,7.786136437783072,7.023758954738443
10,46,1,1,6,9,4.15,3.72,9.138629524422182,7.243069702739499
11,6,1,1,6,9,4.29,4.31,7.6544432264701125,7.185515795166758
11,10,1,1,6,9,4.33,3.95,7.228388451573604,6.845613882444288
12,15,1,1,6,9,4.21,3.74,8.640118538253535,7.206132454380436
12,27,1,1,6,9,4.28,4.18,6.220590170099739,6.828712071641684
12,32,1,1,6,9,4.15,3.7,6.493753839851686,7.1308988302963465
12,36,1,1,6,9,4.17,4.0,8.03689677268507,6.665174033775452
4,7,1,1,6,9,4.33,4.12,11.715482561876033,7.13820011095782
17,26,1,1,6,9,4.31,3.69,7.532088143541722,7.449689959035357
