id_provincia,mes,categoria,precio_mediano_n1
16,3,vida nocturna,897.0
16,5,vida nocturna,1105.5
16,6,paisaje naturaleza,500.0
16,6,paisaje urbano,60.0
16,7,comida y bebida,1016.5
16,7,otros,1661.0
16,7,paisaje naturaleza,1004.5
16,7,paisaje urbano,717.0
16,7,vida nocturna,1411.8
16,8,paisaje naturaleza,452.5
16,8,paisaje urbano,999.33
16,8,vida nocturna,672.33
16,9,paisaje naturaleza,100.0
16,9,paisaje urbano,150.0
16,9,vida nocturna,1157.5
16,10,paisaje urbano,1296.0
16,10,vida nocturna,492.665
16,11,paisaje naturaleza,30.0
16,11,paisaje urbano,1296.0
16,11,vida nocturna,499.665
16,12,paisaje naturaleza,50.0
16,12,paisaje urbano,673.0
16,12,vida nocturna,1574.67
17,1,comida y bebida,1527.0
17,1,paisaje naturaleza,769.88
17,1,paisaje urbano,284.29
17,1,servicios,150.0
17,1,vida nocturna,3296.09
17,2,paisaje naturaleza,352.355
17,2,paisaje urbano,767.86
17,2,servicios,1580.33
17,2,vida nocturna,330.67
17,3,comida y bebida,212.5
17,3,paisaje naturaleza,1476.625
17,3,servicios,1659.67
17,3,vida nocturna,1529.295
17,4,comida y bebida,505.0
17,4,paisaje naturaleza,1505.0
17,4,paisaje urbano,454.22
17,4,servicios,958.2
17,4,vida nocturna,992.5
17,5,paisaje naturaleza,1878.5
17,5,paisaje urbano,656.22
17,5,servicios,175.0
17,5,vida nocturna,242.5
17,6,paisaje naturaleza,1338.165
17,6,paisaje urbano,279.6
17,6,vida nocturna,851.0
17,7,comida y bebida,1338.75
17,7,paisaje naturaleza,1794.335
17,7,servicios,650.0
17,7,vida nocturna,665.8
17,8,paisaje naturaleza,1978.835
17,8,paisaje urbano,3258.86
17,8,vida nocturna,1277.85
17,9,comida y bebida,806.12
17,9,paisaje naturaleza,471.0
17,9,paisaje urbano,1260.9
17,9,servicios,453.0
17,9,vida nocturna,330.0
17,10,comida y bebida,1156.8
17,10,paisaje naturaleza,662.4449999999999
17,10,paisaje urbano,373.235
17,10,servicios,1046.0
17,10,vida nocturna,1227.62
17,11,comida y bebida,899.5
17,11,paisaje naturaleza,653.855
17,11,paisaje urbano,407.56
17,11,servicios,1215.0
17,11,vida nocturna,378.5
17,12,comida y bebida,1004.0
17,12,paisaje naturaleza,494.0
17,12,paisaje urbano,685.3
17,12,servicios,18423.5
17,12,vida nocturna,676.5
18,1,paisaje naturaleza,601.67
18,1,paisaje urbano,958.4
18,1,vida nocturna,996.38
18,2,comida y bebida,1236.0
18,2,otros,3922.0
18,2,paisaje urbano,812.0
18,2,vida nocturna,948.27
18,3,comida y bebida,1454.0
18,3,paisaje naturaleza,1031.75
18,3,paisaje urbano,943.0
18,3,servicios,130.0
18,3,vida nocturna,891.435
18,4,paisaje naturaleza,496.71
18,4,vida nocturna,881.915
18,5,comida y bebida,1237.0
18,5,paisaje urbano,417.6
18,5,vida nocturna,808.5
18,6,otros,680.0
18,6,paisaje naturaleza,2123.67
18,6,paisaje urbano,1594.2
18,6,vida nocturna,1550.19
18,7,comida y bebida,720.0
18,7,paisaje urbano,1146.0
18,7,servicios,150.0
18,7,vida nocturna,779.885
18,8,comida y bebida,782.67
18,8,paisaje naturaleza,518.0
18,8,paisaje urbano,1241.665
18,8,vida nocturna,657.25
18,9,comida y bebida,1003.0
18,9,otros,515.0
18,9,paisaje naturaleza,792.25
18,9,paisaje urbano,909.2
18,9,servicios,120.0
18,9,vida nocturna,404.25
18,10,paisaje naturaleza,1404.1
18,10,servicios,329.0
18,10,vida nocturna,1300.75
18,11,comida y bebida,55.0
18,11,paisaje naturaleza,1066.665
18,11,paisaje urbano,419.75
18,11,servicios,355.0
